HEROES,,,,,,,
CATEGORY,variable code,variable name ,item description,answer format,wave 1,wave 2,wave 3
stressor (general),RA54a,Checks,Psychological support,Yes No,,x,x
stressor (general),RA54b,Checks,Child care assistance,Yes No,,x,x
stressor (general),RA54c,Checks,Care assistance for older adults and/or individuals who have a disability,Yes No,,x,x
stressor (general),RA54d,Checks,Economic assistance,Yes No,,x,x
stressor (general),RA55a,Checks,In-person psychological support,Yes No,,x,x
stressor (general),RA55b,Checks,"Long-distance psychological support (e.g., by phone, online, by video call or video conference, by chat or through an application)",Yes No,,x,x
stressor (general),RA55c,Checks,Child care assistance,Yes No,,x,x
stressor (general),RA55d,Checks,Care assistance for older adults and/or individuals who have a disability,Yes No,,x,x
stressor (general),RA55e,Checks,Economic assistance,Yes No,,x,x
stressor (general),RA56,Checks,"How do you believe that the pandemic, and its consequences, have affected your intimate relationships (romantic partners, significant others)?",?,,x,x
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
